Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,PlayerId
James Karinchak,CLE,RP,373.760009765625,39,2.4489226303010425,-1.5476250424946272,-4.5831185024204,-0.589745615360535,-4.271566529974519,5.097227315114666,1.8256607851401463,20151
Matt Manning,DET,SP,446.760009765625,63,-4.6225707151568605,-4.903991611138756,-6.01614271311578,-5.27928907410586,-20.82199411351725,21.52277268204318,1.7007785685259327,20369
Eli Morgan,CLE,RP,712.5499877929688,66.2,-4.658764198418633,4.783244371685324,-3.55952978049513,-1.01606774797374,-4.451117355202182,5.097227315114666,1.6461099599124835,20203
Chris Martin,BOS,RP,568.1699829101562,56,-1.9933811188019608,1.3497875134218065,-3.35481203611008,-0.589745615360535,-4.588151256850765,5.097227315114666,1.509076058263901,11847
Zach Jackson,OAK,RP,655.3099975585938,48,-1.4495629228909646,-6.183042204196521,-4.07132414145777,7.08405277167726,-4.619876496867992,5.097227315114666,1.4773508182466748,19493
Trevor Williams,WSN,SP,603.8300170898438,89.2,-4.748897681445585,-9.7112763736786,-2.3312233141848,-4.42664480887943,-21.218042178188426,21.52277268204318,1.3047305038547585,16977
Johan Oviedo,PIT,SP/RP,578.1699829101562,56,-2.900054245089446,-7.654958349139109,-5.40198947996062,-5.27928907410586,-21.236291148295024,21.52277268204318,1.286481533748157,22487
Penn Murfee,SEA,RP,744.719970703125,69.1,-2.0565446019463245,2.6539816637946143,-3.15009429172502,-2.29503414581338,-4.847691375690108,5.097227315114666,1.249535939424558,25174
Adam Cimber,TOR,RP,736.969970703125,70.2,-0.8506442280804473,-3.6332322306173386,-4.99255399119051,4.52611997599799,-4.950310473890302,5.097227315114666,1.1469168412243647,15288
Brad Boxberger,CHC,RP,495,64,-1.6305261884254723,-7.008110761714423,-3.96896526926524,7.51037490429047,-5.097227315114666,5.097227315114666,1,10133
Sammy Long,SFG,SP/RP,999,42.1,-3.961184836682584,-5.157095107864271,-7.55152579600368,-4.85296694149265,-21.52277268204318,21.52277268204318,1,25379
Andrew Chafin,,RP,695.3099975585938,57.1,-0.7874807449360836,-4.407735447898325,-4.07132414145777,4.09979784338478,-5.166742490907389,5.097227315114666,0.9304848242072774,12988
Jose Alvarado,PHI,RP,490.54998779296875,51,-2.4468337318591376,-5.079726592638057,-2.63829993076238,4.9524421086112,-5.212418146648374,5.097227315114666,0.8848091684662913,17780
A.J. Puk,OAK,RP,404.6199951171875,66.1,-2.8726200455531212,-4.275934211773855,-3.15009429172502,4.9524421086112,-5.346206440440791,5.097227315114666,0.7510208746738749,19343
Ron Marinaccio,NYY,RP,722.760009765625,44,2.9023752433582195,-0.4150202673529464,-5.19727173557556,-2.72135627842659,-5.431273037996878,5.097227315114666,0.665954277117788,23488
Domingo German,NYY,SP,439.4100036621094,72.1,-6.680507916064439,-5.247448587207837,-4.99255399119051,-5.27928907410586,-22.19979956856864,21.52277268204318,0.32297311347454394,17149
Tarik Skubal,DET,SP,421.30999755859375,117.2,-9.825617309140272,-8.241846217329936,1.04661946816859,-5.27928907410586,-22.30013313240747,21.52277268204318,0.2226395496357093,22267
Griffin Jax,MIN,RP,664,72.1,-4.867161663489468,-1.009921122473289,-2.94537654733996,2.82083144554515,-6.001627887757573,5.097227315114666,0.09559942735709182,20253
Zach Eflin,TBR,SP,296.239990234375,75.2,-10.370596004185607,-4.089700254751118,-4.27604188584281,-4.00032267626622,-22.736660821045767,21.52277268204318,-0.2138881390025833,13774
Jose Quintana,NYM,SP,337.760009765625,165.2,-4.021795221731405,-16.543652153893657,3.09379691201913,-5.27928907410586,-22.750939537711783,21.52277268204318,-0.22816685566859962,11423
Nick Martinez,SDP,SP,430.1000061035156,106.1,-8.311730403970564,-14.81366053503771,-1.20527572006701,1.54186504770552,-22.788801611369767,21.52277268204318,-0.2660289293265834,12730
Logan Gilbert,SEA,SP,110.55000305175781,185.2,-9.461369779802581,-15.191378651877844,6.88107518314263,-5.27928907410586,-23.050962322643645,21.52277268204318,-0.5281896406004638,22250
Wandy Peralta,NYY,RP,741.030029296875,56.1,-0.15283276651753083,-0.7145434980472045,-6.11850158530831,0.262898649865887,-6.722979200007155,5.097227315114666,-0.6257518848924888,14295
